! "S809 Airfoil, OSU data at Re=.75 Million, Clean roughness"
          1   NumTabs           ! Number of airfoil tables in this file.
       0.75   Re                ! Reynolds number in millions
-80 -0.159 1.2989 0.2933
-70 -0.302 1.2148 0.2779
-60 -0.415 1.0684 0.2498
-50 -0.486 0.8799 0.2132
-40 -0.51 0.6743 0.1727
-30 -0.494 0.4784 0.1333
-21.1 -0.56 0.3027 0.0612
-19.1 -0.67 0.3069 0.0904
-17.1 -0.79 0.1928 0.0293
-15.2 -0.84 0.0898 -0.009
-13.2 -0.7 0.0553 -0.0045
-11.1 -0.63 0.039 -0.0044
-9.2 -0.56 0.0233 -0.0051
-7.1 -0.64 0.0131 0.0018
-5.1 -0.42 0.0134 -0.0216
-3.1 -0.21 0.0119 -0.0282
-0.9 0.05 0.0122 -0.0346
1 0.3 0.0116 -0.0405
3.1 0.54 0.0144 -0.0455
5.2 0.777 0.0146 -0.0507
6.15 0.854 0.0154 -0.04555
7.1 0.906 0.0162 -0.0404
8.15 0.888 0.0266 -0.03625
9.2 0.91 0.037 -0.0321
10.3 0.927 0.045 -0.0281
11.18 0.948 0.052 -0.0284
12.2 0.957 0.067 -0.0322
13.2 0.987 0.074 -0.0361
14.3 1.009 0.089 -0.0363
15.3 0.948 0.112 -0.0393
16.1 0.918 0.123 -0.0398
17.1 0.815 0.175 -0.0983
18.1 0.7 0.257 -0.1242
19.1 0.627 0.305 -0.1155
25 0.528 0.454 -0.186083486
30 0.631 0.4784 -0.2459
35 0.592 0.524 -0.2636
40 0.554 0.554 -0.2813
45 0.506 0.61 -0.29735
50 0.442 0.807 -0.3134
60 0.296 0.987 -0.3388
70 0.193 1.172 -0.3557
80 0.082 1.236 -0.363

