                   x/c          y/c
                ---------    --------
                0.844781     0.040401
                0.679231     0.083519
                0.499036     0.102526
                0.311835     0.093478
                0.148865     0.067332
                0.038591     0.032138
                0.000384     0.002246
                0.000083     -0.000824
                0.004825     -0.006272
                0.078778     -0.029393
                0.226326     -0.046714
                0.419762     -0.056366
                0.622793     -0.055227
                0.799991     -0.036719
